transaction_id,date,time,cafe_id,city,product_category,product_name,quantity,unit_price,total_amount,payment_method,loyalty_member
TR_10026,2023-01-20,07:15:00,5,Austin,Bakery,Chocolate Chip Cookie,2,2.50,5.00,Card,Y
TR_10027,2023-01-20,09:30:00,29,Denver,Coffee,Irish Coffee,1,6.50,6.50,Mobile App,Y
TR_10028,2023-01-20,12:45:00,16,Atlanta,Sandwiches,Ham & Cheese,1,7.50,7.50,Card,N
TR_10029,2023-01-20,15:15:00,12,Seattle,Salads,Caprese Salad,1,8.75,8.75,Card,Y
TR_10030,2023-01-21,10:00:00,7,Austin,Coffee,Cold Brew,1,4.75,4.75,Cash,N
TR_10031,2023-01-21,12:30:00,34,Denver,Bakery,Brownie,1,4.25,4.25,Card,Y
TR_10032,2023-01-21,14:45:00,18,Atlanta,Tea,Matcha Latte,1,5.50,5.50,Mobile App,Y
TR_10033,2023-01-21,17:00:00,23,Boston,Coffee,American,1,2.75,2.75,Card,Y
TR_10034,2023-01-22,08:30:00,41,Seattle,Sandwiches,Tuna Melt,1,8.25,8.25,Cash,N
TR_10035,2023-01-22,11:00:00,5,Austin,Bakery,Apple Turnover,1,4.00,4.00,Card,Y
TR_10036,2023-01-22,13:30:00,29,Denver,Salads,Greek Salad,1,8.50,8.50,Mobile App,Y
TR_10037,2023-01-22,16:00:00,16,Atlanta,Coffee,Mocha,1,5.25,5.25,Card,N
TR_10038,2023-01-23,07:45:00,12,Seattle,Bakery,Pumpkin Bread,1,4.75,4.75,Card,Y
TR_10039,2023-01-23,10:15:00,7,Austin,Sandwiches,Roast Beef,1,9.25,9.25,Cash,N
TR_10040,2023-01-23,13:00:00,34,Denver,Tea,Black Tea,1,3.00,3.00,Card,Y
TR_10041,2023-01-23,15:30:00,18,Atlanta,Bakery,Lemon Bar,1,3.75,3.75,Mobile App,Y
TR_10042,2023-01-24,08:00:00,23,Boston,Coffee,Iced Coffee,1,3.75,3.75,Card,Y
TR_10043,2023-01-24,11:45:00,41,Seattle,Salads,Spinach Salad,1,7.75,7.75,Cash,N
TR_10044,2023-01-24,14:15:00,5,Austin,Coffee,Cortado,1,3.50,3.50,Card,Y
TR_10045,2023-01-24,17:00:00,29,Denver,Bakery,Banana Bread,1,4.25,4.25,Mobile App,Y
TR_10046,2023-01-25,09:30:00,16,Atlanta,Sandwiches,Chicken Caesar Wrap,1,8.75,8.75,Card,N
TR_10047,2023-01-25,12:15:00,12,Seattle,Coffee,Hazelnut Latte,1,5.00,5.00,Card,Y
TR_10048,2023-01-25,15:00:00,7,Austin,Tea,Peppermint Tea,1,3.25,3.25,Cash,N
TR_10049,2023-01-26,07:30:00,34,Denver,Sandwiches,Club Sandwich,1,9.50,9.50,Card,Y
TR_10050,2023-01-26,10:00:00,18,Atlanta,Bakery,Chocolate Eclair,1,5.50,5.50,Mobile App,Y
